#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Col6a3	Fbn1	10090.ENSMUSP00000137585	10090.ENSMUSP00000099524	0	0	0	0	0.420	0.079	0	0.520	0.721
Col6a3	Podn	10090.ENSMUSP00000137585	10090.ENSMUSP00000102320	0	0	0	0	0.102	0.080	0	0.351	0.416
Col8a2	Fmod	10090.ENSMUSP00000070270	10090.ENSMUSP00000035489	0	0	0	0	0.393	0.080	0	0.271	0.557
Col8a2	Fcer1g	10090.ENSMUSP00000070270	10090.ENSMUSP00000078875	0	0	0	0	0	0	0	0.400	0.400
Cxcl12	Serpinf1	10090.ENSMUSP00000072800	10090.ENSMUSP00000000769	0	0	0	0	0.235	0	0	0.381	0.506
Cxcl12	Nanog	10090.ENSMUSP00000072800	10090.ENSMUSP00000012540	0	0	0	0	0	0	0	0.478	0.478
Cxcl12	Eln	10090.ENSMUSP00000072800	10090.ENSMUSP00000015138	0	0	0	0	0.057	0	0	0.455	0.464
Cxcl12	Pou5f1	10090.ENSMUSP00000072800	10090.ENSMUSP00000025271	0	0	0	0	0	0	0	0.513	0.513
Cxcl12	Lox	10090.ENSMUSP00000072800	10090.ENSMUSP00000025409	0	0	0	0	0.115	0	0	0.490	0.529
Cxcl12	Cxcl15	10090.ENSMUSP00000072800	10090.ENSMUSP00000031322	0	0	0	0	0	0.649	0	0.672	0.880
Cxcl12	Epcam	10090.ENSMUSP00000072800	10090.ENSMUSP00000061935	0	0	0	0	0	0	0	0.457	0.457
Cxcl12	Slit2	10090.ENSMUSP00000072800	10090.ENSMUSP00000134263	0	0	0	0	0.088	0	0.500	0.418	0.711
Cxcl12	Igf1	10090.ENSMUSP00000072800	10090.ENSMUSP00000100937	0	0	0	0	0.243	0	0	0.722	0.781
Cxcl15	Eln	10090.ENSMUSP00000031322	10090.ENSMUSP00000015138	0	0	0	0	0.079	0	0	0.430	0.452
Cxcl15	Igf1	10090.ENSMUSP00000031322	10090.ENSMUSP00000100937	0	0	0	0	0	0	0	0.553	0.553
Cyct	Igf1	10090.ENSMUSP00000028430	10090.ENSMUSP00000100937	0	0	0	0	0	0	0	0.515	0.515
Ddx4	Nanog	10090.ENSMUSP00000096769	10090.ENSMUSP00000012540	0	0	0	0	0.047	0	0	0.604	0.606
Ddx4	Dmc1	10090.ENSMUSP00000096769	10090.ENSMUSP00000023065	0.045	0.010	0	0	0.118	0.043	0	0.625	0.657
Ddx4	Pou5f1	10090.ENSMUSP00000096769	10090.ENSMUSP00000025271	0	0	0	0	0.094	0.292	0	0.708	0.796
Ddx4	Hormad1	10090.ENSMUSP00000096769	10090.ENSMUSP00000029754	0	0	0	0	0.182	0	0	0.499	0.572
Ddx4	Tdrd12	10090.ENSMUSP00000096769	10090.ENSMUSP00000032701	0	0	0	0	0.174	0.093	0.800	0.490	0.913
Ddx4	Prdm14	10090.ENSMUSP00000096769	10090.ENSMUSP00000044245	0	0	0	0	0.073	0.060	0	0.638	0.657
Ddx4	Lin28a	10090.ENSMUSP00000096769	10090.ENSMUSP00000050488	0.044	0	0	0	0.090	0.127	0	0.569	0.629
Ddx4	Tex14	10090.ENSMUSP00000096769	10090.ENSMUSP00000054444	0	0	0	0	0.079	0.062	0	0.396	0.432
Ddx4	Dppa3	10090.ENSMUSP00000096769	10090.ENSMUSP00000062832	0	0	0	0	0.074	0	0	0.692	0.702
Ddx4	Rnf17	10090.ENSMUSP00000096769	10090.ENSMUSP00000093469	0	0	0	0	0.168	0.085	0	0.652	0.712
Ddx4	Dppa4	10090.ENSMUSP00000096769	10090.ENSMUSP00000093749	0	0	0	0	0.100	0	0	0.412	0.448
Ddx4	Myh11	10090.ENSMUSP00000096769	10090.ENSMUSP00000155052	0	0	0	0	0	0.062	0	0.406	0.419
Ddx4	Dnmt3l	10090.ENSMUSP00000096769	10090.ENSMUSP00000121562	0	0	0	0	0.093	0.068	0	0.410	0.458
Dmc1	Hormad1	10090.ENSMUSP00000023065	10090.ENSMUSP00000029754	0	0	0	0	0.212	0.264	0	0.784	0.864
Dnmt3l	Nanog	10090.ENSMUSP00000121562	10090.ENSMUSP00000012540	0	0	0	0	0.100	0.292	0	0.552	0.689
Dnmt3l	Pou5f1	10090.ENSMUSP00000121562	10090.ENSMUSP00000025271	0	0	0	0	0.134	0.292	0	0.585	0.723
Dnmt3l	Tdrd12	10090.ENSMUSP00000121562	10090.ENSMUSP00000032701	0	0	0	0	0.210	0.065	0	0.369	0.493
Dnmt3l	Khdc3	10090.ENSMUSP00000121562	10090.ENSMUSP00000034737	0	0	0	0	0.123	0	0	0.377	0.430
Dnmt3l	Prdm14	10090.ENSMUSP00000121562	10090.ENSMUSP00000044245	0	0	0	0	0.108	0.059	0	0.564	0.602
Dnmt3l	Lin28a	10090.ENSMUSP00000121562	10090.ENSMUSP00000050488	0	0	0	0	0.130	0	0	0.345	0.406
Dnmt3l	Dppa3	10090.ENSMUSP00000121562	10090.ENSMUSP00000062832	0	0	0	0	0.152	0	0	0.647	0.687
Dnmt3l	Dppa4	10090.ENSMUSP00000121562	10090.ENSMUSP00000093749	0	0	0	0	0.207	0.046	0	0.410	0.514
Dnmt3l	Esrrb	10090.ENSMUSP00000121562	10090.ENSMUSP00000105833	0	0	0	0	0.127	0.082	0	0.475	0.542
Dppa3	Nanog	10090.ENSMUSP00000062832	10090.ENSMUSP00000012540	0	0	0	0	0.115	0	0	0.726	0.747
Dppa3	Pou5f1	10090.ENSMUSP00000062832	10090.ENSMUSP00000025271	0	0	0	0	0.178	0.292	0	0.707	0.814
Dppa3	Tdrd12	10090.ENSMUSP00000062832	10090.ENSMUSP00000032701	0	0	0	0	0.207	0	0	0.278	0.402
Dppa3	Khdc3	10090.ENSMUSP00000062832	10090.ENSMUSP00000034737	0	0	0	0	0.128	0	0	0.442	0.492
Dppa3	Prdm14	10090.ENSMUSP00000062832	10090.ENSMUSP00000044245	0	0	0	0	0.118	0	0	0.740	0.760
Dppa3	Lin28a	10090.ENSMUSP00000062832	10090.ENSMUSP00000050488	0	0	0	0	0.101	0	0	0.544	0.572
Dppa3	Tcl1	10090.ENSMUSP00000062832	10090.ENSMUSP00000098632	0	0	0	0	0.203	0	0	0.457	0.548
Dppa3	Esrrb	10090.ENSMUSP00000062832	10090.ENSMUSP00000105833	0	0	0	0	0.121	0	0	0.662	0.690
Dppa3	Dppa4	10090.ENSMUSP00000062832	10090.ENSMUSP00000093749	0	0	0	0	0.208	0	0	0.651	0.711
Dppa4	Nanog	10090.ENSMUSP00000093749	10090.ENSMUSP00000012540	0	0	0	0	0.255	0	0	0.691	0.760
Dppa4	Pou5f1	10090.ENSMUSP00000093749	10090.ENSMUSP00000025271	0	0	0	0	0.339	0.088	0	0.675	0.787
Dppa4	Tdrd12	10090.ENSMUSP00000093749	10090.ENSMUSP00000032701	0	0	0	0	0.221	0	0	0.321	0.448
Dppa4	Prdm14	10090.ENSMUSP00000093749	10090.ENSMUSP00000044245	0	0	0	0	0.148	0	0	0.573	0.620
Dppa4	Triml1	10090.ENSMUSP00000093749	10090.ENSMUSP00000050267	0	0	0	0	0.278	0.051	0	0.294	0.474
Dppa4	Lin28a	10090.ENSMUSP00000093749	10090.ENSMUSP00000050488	0	0	0	0	0.258	0	0	0.609	0.697
Dppa4	Tcl1	10090.ENSMUSP00000093749	10090.ENSMUSP00000098632	0	0	0	0	0.214	0	0	0.422	0.527
Dppa4	Esrrb	10090.ENSMUSP00000093749	10090.ENSMUSP00000105833	0	0	0	0	0.153	0	0	0.604	0.650
Eln	Tnmd	10090.ENSMUSP00000015138	10090.ENSMUSP00000033602	0	0	0	0	0.065	0	0	0.410	0.424
Eln	Igf1	10090.ENSMUSP00000015138	10090.ENSMUSP00000100937	0	0	0	0	0.060	0	0	0.459	0.469
Eln	Myh11	10090.ENSMUSP00000015138	10090.ENSMUSP00000155052	0	0	0	0	0.150	0	0	0.604	0.649
Eln	Fmod	10090.ENSMUSP00000015138	10090.ENSMUSP00000035489	0	0	0	0	0.180	0	0	0.815	0.842
Eln	Vcan	10090.ENSMUSP00000015138	10090.ENSMUSP00000105173	0	0	0	0	0.057	0	0	0.918	0.919
Eln	Lox	10090.ENSMUSP00000015138	10090.ENSMUSP00000025409	0	0	0	0	0.151	0.472	0.400	0.894	0.967
Eln	Fbn1	10090.ENSMUSP00000015138	10090.ENSMUSP00000099524	0	0	0	0	0.304	0.253	0	0.995	0.997
Epcam	Nanog	10090.ENSMUSP00000061935	10090.ENSMUSP00000012540	0	0	0	0	0.070	0	0	0.700	0.709
Epcam	Pou5f1	10090.ENSMUSP00000061935	10090.ENSMUSP00000025271	0	0	0	0	0.119	0.063	0	0.720	0.748
Epcam	Lin28a	10090.ENSMUSP00000061935	10090.ENSMUSP00000050488	0	0	0	0	0.110	0	0	0.434	0.474
Esrrb	Nanog	10090.ENSMUSP00000105833	10090.ENSMUSP00000012540	0	0	0	0	0.123	0.625	0	0.923	0.972
Esrrb	Pou5f1	10090.ENSMUSP00000105833	10090.ENSMUSP00000025271	0	0	0	0	0.151	0.629	0	0.896	0.964
Esrrb	Prdm14	10090.ENSMUSP00000105833	10090.ENSMUSP00000044245	0	0	0	0	0.127	0.063	0	0.758	0.784
Esrrb	Lin28a	10090.ENSMUSP00000105833	10090.ENSMUSP00000050488	0	0	0	0	0.101	0.051	0	0.618	0.645
Esrrb	Foxd3	10090.ENSMUSP00000105833	10090.ENSMUSP00000084541	0	0	0	0	0.116	0.062	0	0.398	0.457
Esrrb	Tcl1	10090.ENSMUSP00000105833	10090.ENSMUSP00000098632	0	0	0	0	0.209	0	0	0.663	0.722
Fbn1	Lox	10090.ENSMUSP00000099524	10090.ENSMUSP00000025409	0	0	0	0	0.411	0.117	0	0.631	0.791
Fbn1	Slc2a10	10090.ENSMUSP00000099524	10090.ENSMUSP00000029196	0	0	0	0	0.115	0.066	0	0.528	0.576
Fbn1	Fmod	10090.ENSMUSP00000099524	10090.ENSMUSP00000035489	0	0	0	0	0.273	0.098	0	0.501	0.644
Fbn1	Myh11	10090.ENSMUSP00000099524	10090.ENSMUSP00000155052	0	0	0	0	0.113	0.077	0	0.611	0.654
Fbn1	Vcan	10090.ENSMUSP00000099524	10090.ENSMUSP00000105173	0	0	0	0	0.234	0.099	0	0.918	0.938
Fmod	Serpinf1	10090.ENSMUSP00000035489	10090.ENSMUSP00000000769	0	0	0	0	0.456	0	0	0.211	0.553
Fmod	Lox	10090.ENSMUSP00000035489	10090.ENSMUSP00000025409	0	0	0	0	0.230	0.098	0	0.457	0.591
Fmod	Tnmd	10090.ENSMUSP00000035489	10090.ENSMUSP00000033602	0	0	0	0	0.204	0	0	0.761	0.802
Fmod	Igf1	10090.ENSMUSP00000035489	10090.ENSMUSP00000100937	0	0	0	0	0.124	0.171	0	0.537	0.634
Fmod	Vcan	10090.ENSMUSP00000035489	10090.ENSMUSP00000105173	0	0	0	0	0.061	0	0	0.787	0.791
Fmr1nb	Triml2	10090.ENSMUSP00000071748	10090.ENSMUSP00000148196	0	0	0	0	0.087	0	0	0.542	0.564
Foxd3	Nanog	10090.ENSMUSP00000084541	10090.ENSMUSP00000012540	0	0	0	0	0.079	0	0	0.641	0.655
Foxd3	Pou5f1	10090.ENSMUSP00000084541	10090.ENSMUSP00000025271	0	0	0	0	0.138	0.064	0	0.841	0.860
Foxd3	Prdm14	10090.ENSMUSP00000084541	10090.ENSMUSP00000044245	0	0	0	0	0.105	0.096	0	0.319	0.401
Foxd3	Lin28a	10090.ENSMUSP00000084541	10090.ENSMUSP00000050488	0	0	0	0	0.100	0	0	0.400	0.437
Hormad1	Rnf17	10090.ENSMUSP00000029754	10090.ENSMUSP00000093469	0	0	0	0	0.318	0	0	0.464	0.619
Igf1	Serpinf1	10090.ENSMUSP00000100937	10090.ENSMUSP00000000769	0	0	0	0	0.236	0	0	0.390	0.514
Igf1	Nanog	10090.ENSMUSP00000100937	10090.ENSMUSP00000012540	0	0	0	0	0	0	0	0.497	0.497
Igf1	Igfbp6	10090.ENSMUSP00000100937	10090.ENSMUSP00000023807	0	0	0	0	0.055	0.463	0.700	0.991	0.998
Igf1	Pou5f1	10090.ENSMUSP00000100937	10090.ENSMUSP00000025271	0	0	0	0	0	0	0	0.557	0.557
Igf1	Lox	10090.ENSMUSP00000100937	10090.ENSMUSP00000025409	0	0	0	0	0.080	0	0	0.480	0.501
Igf1	Sfrp2	10090.ENSMUSP00000100937	10090.ENSMUSP00000029625	0	0	0	0	0.053	0	0	0.396	0.404
Khdc3	Pou5f1	10090.ENSMUSP00000034737	10090.ENSMUSP00000025271	0	0	0	0	0.131	0	0	0.352	0.412
Khdc3	Tdrd12	10090.ENSMUSP00000034737	10090.ENSMUSP00000032701	0	0	0	0	0.121	0.083	0	0.445	0.514
Khdc3	Tcl1	10090.ENSMUSP00000034737	10090.ENSMUSP00000098632	0	0	0	0	0.133	0	0	0.369	0.429
Lin28a	Nanog	10090.ENSMUSP00000050488	10090.ENSMUSP00000012540	0	0	0	0	0.192	0	0	0.897	0.913
Lin28a	Pou5f1	10090.ENSMUSP00000050488	10090.ENSMUSP00000025271	0	0	0	0	0.175	0.046	0	0.903	0.917
Lin28a	Prdm14	10090.ENSMUSP00000050488	10090.ENSMUSP00000044245	0	0	0	0	0.154	0	0	0.760	0.789
Lmna	Pou5f1	10090.ENSMUSP00000029699	10090.ENSMUSP00000025271	0	0	0	0	0	0.053	0	0.443	0.449
Lox	Myh11	10090.ENSMUSP00000025409	10090.ENSMUSP00000155052	0	0	0	0	0.076	0.077	0	0.437	0.478
Lox	Tll1	10090.ENSMUSP00000025409	10090.ENSMUSP00000070560	0	0	0	0	0.060	0	0.400	0.256	0.543
Lox	Vcan	10090.ENSMUSP00000025409	10090.ENSMUSP00000105173	0	0	0	0	0.146	0.099	0	0.602	0.667
Myh11	Slc2a10	10090.ENSMUSP00000155052	10090.ENSMUSP00000029196	0	0	0	0	0.104	0	0	0.454	0.490
Nanog	Tcl1	10090.ENSMUSP00000012540	10090.ENSMUSP00000098632	0	0	0	0	0.104	0	0	0.604	0.630
Nanog	Prdm14	10090.ENSMUSP00000012540	10090.ENSMUSP00000044245	0	0	0	0	0.135	0.093	0	0.769	0.802
Nanog	Pou5f1	10090.ENSMUSP00000012540	10090.ENSMUSP00000025271	0	0	0	0	0.327	0.831	0	0.993	0.999
Pou5f1	Tcl1	10090.ENSMUSP00000025271	10090.ENSMUSP00000098632	0	0	0	0	0.277	0	0	0.520	0.638
Pou5f1	Prdm14	10090.ENSMUSP00000025271	10090.ENSMUSP00000044245	0	0	0	0	0.162	0	0	0.742	0.774
Prdm14	Tcl1	10090.ENSMUSP00000044245	10090.ENSMUSP00000098632	0	0	0	0	0.220	0	0	0.665	0.727
Rbmxl2	Tdrd12	10090.ENSMUSP00000095739	10090.ENSMUSP00000032701	0	0	0	0	0.187	0.118	0	0.368	0.507
Rbmxl2	Rpl10l	10090.ENSMUSP00000095739	10090.ENSMUSP00000100795	0	0	0	0	0.142	0.132	0	0.374	0.493
Rnf17	Tdrd12	10090.ENSMUSP00000093469	10090.ENSMUSP00000032701	0	0	0	0	0.142	0.085	0	0.617	0.673
Rnf17	Tex14	10090.ENSMUSP00000093469	10090.ENSMUSP00000054444	0	0	0	0	0.136	0.230	0	0.392	0.560
Rpl10l	Tuba3a	10090.ENSMUSP00000100795	10090.ENSMUSP00000085580	0	0	0	0	0.163	0.101	0	0.284	0.414
Sfrp2	Tll1	10090.ENSMUSP00000029625	10090.ENSMUSP00000070560	0	0	0	0	0	0.292	0	0.289	0.475
